doc_id,source_doc_id,simple_family_id,publication_number,bertopic_topic,year
0,1,CN202610759692.020260529,CN122353527A,-1,2026
1,2,CN202610816025.120260608,CN122353549A,9,2026
2,3,CN202610821095.620260609,CN122353550A,12,2026
3,4,CN202610460778.320260409,CN122353572A,32,2026
4,5,CN202610555860.420260424,CN122353585A,1,2026
5,6,CN202610818543.720260608,CN122353628A,-1,2026
6,7,CN202510063771.320250115,CN122353641A,-1,2025
7,8,CN202610639550.020260511,CN122353665A,-1,2026
8,9,CN202610596679.820260430,CN122354669A,9,2026
9,10,CN202610419661.020260401,CN122360416A,7,2026
10,11,CN202610807252.820260605,CN122362891A,5,2026
11,12,CN202610393094.620260327,CN122362977A,1,2026
12,13,CN202610647064.320260512,CN122363235A,17,2026
13,14,CN202610672260.620260515,CN122363238A,27,2026
14,15,CN202610437642.020260403,CN122363295A,3,2026
15,16,CN202610829251.320260610,CN122369453A,2,2026
16,17,CN202521234480.820250616,CN224476207U,9,2025
17,18,CN202521280011.X20250620,CN224476993U,-1,2025
18,19,CN202521280021.320250620,CN224476994U,-1,2025
19,20,CN202521277179.520250620,CN224481552U,0,2025
20,21,420230457,IN202641082192A,65,2026
21,22,400737580,JP2026116655A,18,2025
22,23,411858816,CN121209388B,6,2025
23,24,411719671,CN121223770B,-1,2025
24,25,413529534,CN121477955B,-1,2025
25,26,417843274,CN122069115B,17,2026
26,27,418428328,CN122125731B,1,2026
27,28,418607657,CN122154749B,-1,2026
28,29,420019807,CN122342909A,52,2026
29,30,420024381,CN122343385A,36,2026
30,31,420026665,CN122343440A,-1,2026
31,32,420024615,CN122343461A,57,2026
32,33,420024806,CN122343466A,-1,2026
33,34,420025619,CN122343484A,-1,2025
34,35,420025654,CN122343485A,-1,2025
35,36,420068189,CN122346125A,52,2026
36,37,420071464,CN122346163A,33,2026
37,38,420067780,CN122349000A,-1,2026
38,39,420015611,CN224464722U,-1,2025
39,40,420027270,CN224465593U,-1,2025
40,41,382073692,CN117565998B,30,2023
41,42,411747073,CN121232883B,73,2025
42,43,412899210,CN121374700B,12,2025
43,44,415901888,CN121782237B,16,2025
44,45,415913776,CN121782939B,52,2026
45,46,417266909,CN121977581B,-1,2026
46,47,419865031,CN122323097A,13,2026
47,48,419868148,CN122323140A,-1,2026
48,49,419866901,CN122323197A,-1,2026
49,50,419867419,CN122323205A,5,2026
50,51,419871309,CN122323265A,12,2026
51,52,419887793,CN122324149A,0,2026
52,53,419888070,CN122324154A,-1,2026
53,54,419852315,CN122327614A,30,2026
54,55,419925128,CN122331290A,3,2026
55,56,419927625,CN122331468A,10,2026
56,57,419930829,CN122331584A,3,2026
57,58,419853556,CN122333824A,-1,2026
58,59,419911807,CN122336465A,17,2026
59,60,419863032,CN122340352A,-1,2025
60,61,419903668,CN224446014U,12,2025
61,62,419904672,CN224446030U,12,2025
62,63,419939533,CN224447959U,0,2025
63,64,419940152,CN224447969U,9,2025
64,65,419981574,IN202621048411A,21,2026
65,66,419816289,DE102025144738A1,2,2025
66,67,387484395,US20260186494A1,-1,2022
67,68,419805569,US20260186507A1,56,2026
68,69,396983257,CN119260728B,5,2024
69,70,408408986,CN120763686B,47,2025
70,71,410910415,CN121093995B,2,2025
71,72,411172959,CN121132640B,32,2025
72,73,411172140,CN121143009B,3,2025
73,74,412888542,CN121391718B,10,2025
74,75,414200265,CN121552375B,17,2025
75,76,415102393,CN121670746B,16,2025
76,77,416911649,CN121934612B,3,2026
77,78,417265975,CN121977565B,-1,2026
78,79,417508701,CN122018332B,6,2026
79,80,419680571,CN122299574A,3,2026
80,81,419678351,CN122299623A,38,2026
81,82,419679095,CN122299633A,-1,2026
82,83,419679472,CN122299638A,10,2026
83,84,419679845,CN122299643A,10,2026
84,85,419680192,CN122299648A,5,2026
85,86,419681074,CN122299660A,5,2026
86,87,419682449,CN122299681A,10,2026
87,88,419679684,CN122299728A,-1,2026
88,89,419680040,CN122299733A,16,2026
89,90,419652537,CN122303459A,-1,2026
90,91,419757798,CN122308221A,6,2026
91,92,419763170,CN122308353A,15,2026
92,93,419758098,CN122308377A,6,2026
93,94,419766739,CN122308621A,32,2026
94,95,419651631,CN122309520A,21,2026
95,96,419702787,CN122311848A,30,2026
96,97,419714063,CN122312338A,17,2026
97,98,419727345,CN122312944A,33,2026
98,99,419778255,CN122315225A,-1,2026
99,100,419726428,CN224425616U,9,2025
100,101,419753192,CN224427278U,0,2025
101,102,419640227,CN224427616U,9,2025
102,103,419640643,CN224427624U,0,2025
103,104,419746961,CN224433157U,12,2025
104,105,420000425,KR1020260100240A,22,2026
105,106,405431423,CN120363183B,6,2025
106,107,408038642,CN120717223B,28,2025
107,108,411484486,CN121180324B,0,2025
108,109,412286057,CN121300450B,27,2025
109,110,412287490,CN121300473B,3,2025
110,111,412893200,CN121392348B,27,2025
111,112,415205712,CN121704883B,32,2026
112,113,416801861,CN121918613B,6,2026
113,114,417081209,CN121946543B,1,2026
114,115,419510682,CN122274330A,36,2025
115,116,419512117,CN122274582A,-1,2025
116,117,419519056,CN122274926A,19,2026
117,118,419519925,CN122274939A,1,2026
118,119,419520044,CN122274941A,1,2026
119,120,419519107,CN122274989A,10,2026
120,121,419520037,CN122275003A,29,2026
121,122,419521224,CN122275023A,1,2026
122,123,419521271,CN122275024A,9,2026
123,124,419518628,CN122275058A,-1,2026
124,125,419540831,CN122276047A,9,2026
125,126,419557411,CN122281926A,33,2026
126,127,419469429,CN122283593A,30,2026
127,128,419473178,CN122283746A,15,2026
128,129,419484791,CN122284520A,65,2026
129,130,419485543,CN122284596A,3,2026
130,131,419487745,CN122284637A,-1,2026
131,132,419484954,CN122284661A,3,2026
132,133,419480024,CN122290189A,26,2026
133,134,419485039,CN122290568A,2,2026
134,135,419464625,CN224407616U,-1,2025
135,136,419465220,CN224407640U,12,2025
136,137,419499182,CN224409118U,0,2025
137,139,419425761,US20260179318A1,-1,2026
138,142,419455303,WO2026135573A1,42,2025
139,143,400705928,EP4761885A1,-1,2024
140,144,419410934,JP2026103405A,14,2024
141,145,385269637,JP7879790B2,-1,2022
142,146,360092887,CN115311620B,50,2022
143,147,415602245,CN121746555B,68,2026
144,148,419382633,CN122250292A,39,2026
145,149,419319255,CN122253153A,15,2026
146,150,419319989,CN122253163A,1,2026
147,151,419320211,CN122253166A,5,2026
148,152,419320532,CN122253170A,5,2026
149,153,419320711,CN122253257A,19,2026
150,154,419337228,CN122253988A,13,2026
151,155,419343405,CN122258919A,-1,2026
152,156,419343612,CN122258922A,33,2026
153,157,419343277,CN122259079A,20,2026
154,158,419345621,CN122259112A,1,2024
155,159,419372698,CN122260507A,29,2026
156,160,419375121,CN122260767A,-1,2026
157,161,419379712,CN122260837A,57,2026
158,162,419377005,CN122260870A,3,2026
159,163,419381023,CN122260935A,5,2026
160,164,419379032,CN122260964A,1,2026
161,165,419379262,CN122260968A,-1,2026
162,166,419383864,CN122261029A,49,2026
163,167,419384043,CN122261101A,17,2026
164,168,419385248,CN122261194A,1,2026
165,169,419373751,CN122265711A,10,2026
166,170,419319333,CN122268066A,13,2026
167,171,419374006,CN224391171U,13,2025
168,172,419374106,CN224391173U,-1,2025
169,173,419296111,CN224392340U,0,2025
170,174,419305048,CN224392803U,0,2025
171,175,419344115,CN224399750U,2,2025
172,177,384089569,US12664684B2,-1,2022
173,178,TR202600843120260526,TR2026008431A2,2,2026
174,179,382270562,CN117589161B,15,2023
175,180,402914896,CN120036246B,61,2025
176,181,413516400,CN121483768B,36,2025
177,182,417216589,CN121979267B,27,2026
178,183,417891403,CN122058378B,10,2026
179,184,419148158,CN122230311A,14,2026
180,185,419178598,CN122231822A,9,2026
181,186,419175067,CN122231839A,19,2026
182,187,419175138,CN122231840A,-1,2026
183,188,419176045,CN122231855A,57,2026
184,189,419176506,CN122231863A,-1,2026
185,190,419176567,CN122231864A,1,2026
186,191,419178138,CN122231888A,1,2026
187,192,419178682,CN122231896A,65,2026
188,193,419179841,CN122231915A,6,2026
189,194,419175310,CN122231926A,-1,2026
190,195,419175427,CN122231928A,12,2026
191,196,419175499,CN122231929A,9,2026
192,197,419175619,CN122231931A,-1,2026
193,198,419177369,CN122231960A,-1,2026
194,199,419193268,CN122232765A,-1,2026
195,200,419193329,CN122232766A,0,2026
196,201,419193435,CN122232768A,0,2026
197,202,419221794,CN122239414A,3,2026
198,203,419224143,CN122239448A,5,2026
199,204,419224272,CN122239593A,-1,2026
200,205,419230437,CN122239750A,3,2026
201,206,419230821,CN122239755A,-1,2026
202,207,419226994,CN122239774A,6,2026
203,208,419150338,CN122241442A,35,2026
204,209,419222889,CN122244869A,6,2026
205,210,419229557,CN122245316A,2,2026
206,211,419147636,CN224370636U,11,2025
207,212,419139964,CN224375742U,9,2025
208,213,419213708,CN224385223U,0,2025
209,214,419260792,IN202641069496A,2,2026
210,215,419261529,IN202641070932A,69,2026
211,216,419259060,IN202641071981A,2,2026
212,217,418781215,DE202026001560U1,20,2026
213,218,419086242,US20260165900A1,48,2023
214,219,419086643,US20260166744A1,10,2025
215,220,404528783,CN120246123B,0,2025
216,221,411318527,CN121170876B,2,2025
217,222,413876477,CN121516132B,0,2026
218,223,418988156,CN122210575A,8,2026
219,224,418988458,CN122210579A,-1,2026
220,225,418988665,CN122210582A,-1,2026
221,226,418990146,CN122210604A,57,2026
222,227,418990292,CN122210606A,5,2026
223,228,418990356,CN122210607A,57,2026
224,229,418991914,CN122210633A,32,2026
225,230,418989599,CN122210668A,-1,2024
226,231,418989725,CN122210670A,36,2026
227,232,418991988,CN122210705A,1,2026
228,233,418992280,CN122210710A,16,2026
229,234,418982766,CN122219069A,5,2026
230,235,418983157,CN122219076A,5,2026
231,236,418986873,CN122219202A,-1,2026
232,237,418990053,CN122219243A,6,2026
233,238,418991259,CN122219426A,-1,2026
234,239,419032669,CN122221403A,-1,2026
235,240,419060750,CN122222573A,30,2026
236,241,418988022,CN122223721A,-1,2026
237,243,386442833,US12658188B2,2,2022
238,244,415955343,TW202623976A,19,2024
239,245,418018713,KR102978664B1,12,2026
240,246,418946554,JP2026096918A,11,2025
241,247,377599405,CN117036469B,-1,2023
242,248,380837120,CN117434841B,3,2023
243,249,415915315,CN121783173B,33,2026
244,250,418848693,CN122185121A,9,2025
245,251,418849219,CN122185131A,19,2026
246,252,418851642,CN122185171A,72,2026
247,253,418852655,CN122185192A,57,2026
248,254,418851024,CN122185237A,-1,2026
249,255,418851134,CN122185241A,6,2026
250,256,418851428,CN122185248A,5,2026
251,257,418853332,CN122185285A,1,2026
252,258,418854318,CN122185303A,-1,2026
253,259,418865631,CN122186124A,1,2026
254,260,418918392,CN122188408A,66,2026
255,261,418830923,CN122189333A,36,2026
256,262,418908609,CN122192572A,-1,2026
257,263,418911173,CN122192811A,16,2026
258,264,418840120,CN122194988A,33,2026
259,265,418840756,CN122195060A,3,2026
260,266,418840826,CN122195061A,3,2026
261,267,418841328,CN122195069A,6,2026
262,268,418858482,CN122195958A,-1,2026
263,269,418864934,CN122196245A,2,2026
264,270,418881044,CN122196859A,56,2025
265,271,418908603,CN122197955A,6,2026
266,272,418828173,CN122199760A,-1,2026
267,273,418837751,CN122200206A,-1,2026
268,274,418850861,CN122200737A,-1,2026
269,275,418872637,CN122201723A,8,2026
270,276,418862288,CN224349029U,0,2025
271,277,418940433,IN202541047561A,44,2025
272,278,418940540,IN202541053567A,20,2025
273,279,418939221,IN202641047909A,2,2026
274,280,418948265,TWI928955B,26,2025
275,281,418960849,KR1020260086749A,30,2026
276,282,383806792,CN117775138B,0,2023
277,283,386493895,CN118071798B,-1,2024
278,284,413071256,CN121403406B,28,2025
279,285,417216492,CN121979265B,3,2026
280,286,418762496,CN122163061A,-1,2025
281,287,418700050,CN122165325A,-1,2026
282,288,418697939,CN122165364A,72,2026
283,289,418701411,CN122165414A,32,2026
284,290,418701870,CN122165420A,6,2026
285,291,418701938,CN122165421A,5,2026
286,292,418697853,CN122165432A,2,2026
287,293,418698231,CN122165437A,1,2026
288,294,418699058,CN122165448A,-1,2026
289,295,418702376,CN122165491A,-1,2026
290,296,418725109,CN122171087A,20,2026
291,297,418745386,CN122172122A,2,2026
292,298,418664651,CN122172777A,33,2026
293,299,418665416,CN122172830A,6,2026
294,300,418706880,CN122174868A,1,2026
295,302,418751255,CN224334489U,12,2025
296,303,418689688,CN224335732U,0,2025
297,304,418689981,CN224335736U,0,2025
298,305,418662186,US12649240B1,-1,2025
299,306,415058864,CN121680475B,67,2026
300,307,415560768,CN121733581B,16,2026
301,308,417081740,CN121946550B,6,2026
302,309,418543261,CN122142696A,-1,2026
303,310,418548043,CN122142977A,5,2026
304,311,418548607,CN122142989A,1,2026
305,312,418549644,CN122143010A,5,2026
306,313,418550175,CN122143021A,1,2026
307,314,418549609,CN122143069A,1,2026
308,315,418550776,CN122143092A,4,2026
309,316,418551543,CN122143108A,19,2026
310,317,418572433,CN122144038A,0,2026
311,318,418543075,CN122151619A,6,2026
312,319,418548747,CN122151903A,-1,2026
313,320,418582148,CN122153654A,-1,2026
314,322,418573091,CN122157312A,-1,2026
315,323,418560423,CN122160998A,-1,2026
316,324,418611000,CN224321004U,11,2025
317,325,418567250,CN224323129U,9,2025
318,326,418567533,CN224323133U,-1,2025
319,327,418637727,IN202641044411A,2,2026
320,328,418637381,IN202641065460A,2,2026
321,329,418505966,US20260153625A1,15,2026
322,330,401444771,CN119847023B,1,2024
323,331,402033482,CN119927950B,4,2025
324,332,409463747,CN120901960B,5,2025
325,333,412705631,CN121340233B,17,2025
326,334,414756626,CN121625158B,-1,2026
327,335,414941831,CN121661700B,2,2026
328,336,416911680,CN121934613B,7,2026
329,337,418425783,CN122125691A,-1,2026
330,339,418430193,CN122125760A,-1,2026
331,340,418428060,CN122133256A,3,2026
332,341,418442475,CN122133702A,1,2026
333,342,418470010,CN122134889A,68,2026
334,343,406460811,US12645773B2,42,2024
335,344,418646955,TWM683771U,23,2026
336,345,418649622,KR102972174B1,21,2026
337,346,VN120260231820260323,VN125611A,2,2026
338,347,373103360,CN116580064B,15,2023
339,348,413536342,CN121485372B,-1,2026
340,349,414917351,CN121650030B,1,2026
341,350,415100117,CN121682451B,15,2026
342,351,418274953,CN122100107A,-1,2026
343,352,418278171,CN122100155A,5,2026
344,353,418278674,CN122100163A,-1,2026
345,354,418275535,CN122100196A,-1,2026
346,355,418278047,CN122100231A,1,2026
347,356,418295858,CN122101227A,7,2026
348,357,418296550,CN122101237A,7,2026
349,358,418300304,CN122101358A,-1,2026
350,359,418319518,CN122108148A,6,2026
351,360,418252394,CN122110672A,6,2026
352,361,418257461,CN122110835A,3,2026
353,362,418257175,CN224295861U,4,2025
354,363,418287709,CN224297307U,9,2025
355,364,418372784,IN202641062477A,46,2026
356,365,418372418,IN202641063500A,28,2026
357,366,396142887,WO2026108507A1,73,2025
358,367,397608665,EP4746797A1,-1,2024
359,368,355716961,CN115047759B,-1,2022
360,369,381712968,CN117532609B,2,2023
361,370,402872262,CN120038753B,1,2025
362,371,412315706,CN121290419B,65,2025
363,372,414369437,CN121572351B,4,2026
364,373,415353033,CN121721972B,6,2026
365,374,416377179,CN121847880B,36,2026
366,375,418130472,CN122077598A,-1,2025
367,376,418131509,CN122077611A,-1,2026
368,377,418132060,CN122077618A,32,2026
369,378,418132955,CN122077630A,-1,2026
370,379,418134974,CN122077656A,3,2026
371,380,418131064,CN122077687A,4,2026
372,381,418146067,CN122078245A,-1,2026
373,382,418105216,CN122083953A,15,2026
374,383,418149641,CN122085989A,-1,2025
375,384,418149948,CN122085993A,5,2026
376,385,418149849,CN122086069A,6,2026
377,386,418151944,CN122086099A,27,2026
378,387,418046168,CN122087574A,-1,2026
379,388,418063585,CN122088551A,5,2026
380,389,418087990,CN122089989A,33,2026
381,390,418045633,CN122094136A,49,2026
382,391,418129245,CN224269985U,0,2025
383,392,418098361,CN224275106U,13,2025
384,393,418099921,CN224275128U,-1,2025
385,394,418133187,CN224276974U,-1,2025
386,395,418147290,CN224277367U,13,2025
387,396,377689086,US12636785B2,21,2024
388,397,417326843,US12638859B2,-1,2025
389,398,373589507,US12638922B2,-1,2024
390,399,418381941,KR102967195B1,8,2025
391,400,TH250100402420250618,TH2501004024A,18,2025
392,402,384824683,US20260138273A1,49,2023
393,403,417969428,WO2026102554A1,28,2025
394,407,TR202400672420240529,TR2024006724B,54,2024
395,409,362040286,CN115480594B,40,2021
396,410,379903537,CN117310302B,20,2023
397,411,415351567,CN121722121B,33,2026
398,412,417853970,CN122056724A,48,2025
399,413,417889046,CN122058346A,1,2026
400,414,417890849,CN122058371A,28,2026
401,416,417891790,CN122058383A,-1,2026
402,417,417887664,CN122058401A,5,2026
403,418,417904488,CN122058987A,-1,2026
404,419,417901636,CN122059016A,0,2026
405,420,417905754,CN122059071A,12,2025
406,421,417909327,CN122064027A,5,2026
407,422,417909615,CN122064031A,-1,2026
408,423,417909640,CN122064106A,1,2026
409,425,417897721,CN224255349U,9,2025
410,426,417894805,CN224255389U,-1,2025
411,427,349504867,CN114463243B,26,2020
412,428,363857984,CN115631348B,50,2022
413,429,417684184,CN122033891A,13,2026
414,430,417684242,CN122033892A,13,2026
415,431,417684311,CN122033893A,13,2026
416,432,417687041,CN122033938A,5,2026
417,433,417689913,CN122034044A,-1,2026
418,434,417694535,CN122034554A,67,2026
419,435,417699361,CN122034679A,2,2025
420,436,417710450,CN122035042A,-1,2026
421,437,417706313,CN122035168A,0,2026
422,438,417706367,CN122035169A,19,2026
423,439,417766247,CN122038010A,66,2026
424,440,417657046,CN122043948A,67,2026
425,441,417658264,CN122044035A,-1,2026
426,442,417663957,CN122044306A,44,2026
427,443,417788937,CN122049225A,35,2026
428,444,417723997,CN122052439A,-1,2026
429,445,417694690,CN224241141U,0,2025
430,446,417694780,CN224241142U,0,2025
431,447,417676772,CN224245856U,-1,2025
432,448,417739062,CN224249432U,49,2025
433,449,417806520,IN202641057487A,2,2026
434,450,417654121,JP2026078948A,71,2024
435,452,326466090,IN588837A1,-1,2019
436,453,417635336,JP2026078104A,71,2024
437,454,417635354,JP2026078105A,71,2024
438,455,417638173,US20260131464A1,34,2025
439,456,417642633,US20260133584A1,70,2025
440,457,417644303,US20260134412A1,-1,2025
441,458,400255013,CN119682878B,9,2025
442,459,407907417,CN120697023B,65,2025
443,460,411473826,CN121179480B,-1,2025
444,461,412702417,CN121340271B,5,2025
445,462,414040465,CN121541648B,15,2026
446,463,417527895,CN122008213A,-1,2026
447,464,417528108,CN122008216A,-1,2026
448,465,417528945,CN122008227A,5,2026
449,466,417529720,CN122008238A,5,2026
450,467,417530630,CN122008250A,32,2026
451,468,417530710,CN122008251A,-1,2026
452,469,417528607,CN122008293A,1,2026
453,470,417530646,CN122008320A,-1,2026
454,471,417554103,CN122009359A,-1,2026
455,472,417495757,CN122011932A,20,2026
456,473,417533427,CN122013843A,-1,2026
457,475,417516328,CN122018682A,-1,2026
458,476,417553119,CN122020539A,2,2026
459,477,417576469,CN122021709A,5,2025
460,478,417501136,CN224223883U,29,2025
461,479,417527269,CN224225180U,0,2025
462,480,417527417,CN224225182U,-1,2025
463,481,417483339,JP2026076684A,71,2024
464,482,417483310,JP2026076685A,71,2024
465,483,417828838,KR1020260066276A,0,2024
466,485,380079506,CN117325177B,-1,2023
467,486,403525609,CN120125755B,15,2025
468,487,411837558,CN121199998B,65,2025
469,488,414926731,CN121660920B,15,2025
470,489,417363495,CN121988000A,6,2026
471,490,417387464,CN121989231A,65,2025
472,491,417387827,CN121989238A,1,2026
473,492,417387139,CN121989286A,19,2026
474,493,417387252,CN121989288A,19,2026
475,494,417387689,CN121989296A,-1,2026
476,495,417387217,CN121989300A,-1,2026
477,496,417401443,CN121990076A,-1,2026
478,497,417396682,CN121994172A,12,2026
479,498,417399162,CN121994228A,1,2025
480,499,417424530,CN121995943A,27,2026
481,500,417424531,CN121995944A,-1,2026
482,501,417440830,CN224209992U,13,2025
483,502,417463970,IN202631052683A,2,2026
484,503,417324786,US20260124746A1,5,2025
485,504,417324885,US20260124750A1,-1,2025
486,505,396050502,US20260124769A1,-1,2025
487,506,417326554,US20260126796A1,-1,2025
488,507,417326808,US20260126804A1,-1,2025
489,509,417345591,WO2026093977A1,-1,2025
490,510,417475521,KR1020260061130A,33,2026
491,511,417475712,KR1020260061389A,-1,2026
492,512,375013684,CN116788383B,0,2023
493,513,382257361,CN117584110B,19,2023
494,514,412433884,CN121325859B,1,2025
495,515,415730364,CN121757299B,19,2026
496,516,417257919,CN121973146A,1,2026
497,517,417256521,CN121973208A,5,2026
498,518,417258408,CN121973232A,5,2026
499,519,417258744,CN121973236A,1,2026
500,520,417259519,CN121973246A,28,2026
501,521,417260423,CN121973258A,13,2026
